x,y,z
-10.365409,-11.212940,28.332665
-10.429976,-11.070709,28.678166
-10.477673,-10.891072,29.020585
-10.505493,-10.665408,29.362158
-10.506654,-10.366728,29.716969
-10.461346,-9.948298,30.088697
-10.405828,-9.660556,30.281118
-10.328669,-9.355418,30.439272
-10.238721,-9.063439,30.551354
-10.135466,-8.775886,30.627070
-10.020811,-8.495150,30.669203
-9.895602,-8.221307,30.680420
-9.760823,-7.955277,30.662627
-9.617300,-7.697868,30.617363
-9.465827,-7.449953,30.545900
-9.307252,-7.212522,30.449374
-9.142344,-6.986447,30.328760
-8.971837,-6.772544,30.184884
-8.796468,-6.571634,30.018454
-8.616996,-6.384552,29.830071
-8.434211,-6.212162,29.620244
-8.248966,-6.055376,29.389407
-8.062199,-5.915176,29.137943
-7.874980,-5.792645,28.866234
-7.688564,-5.688985,28.574745
-7.504469,-5.605537,28.264162
-7.324565,-5.543761,27.935610
-7.151149,-5.505158,27.590957
-6.986959,-5.491101,27.233124
-6.835032,-5.502572,26.866241
-6.698371,-5.539909,26.495399
-6.579510,-5.602726,26.125941
-6.480228,-5.690121,25.762636
-6.401556,-5.801061,25.409174
-6.344029,-5.934760,25.068156
-6.308001,-6.090970,24.741371
-6.293956,-6.270196,24.430145
-6.302800,-6.473984,24.135626
-6.336262,-6.705471,23.858990
-6.397727,-6.970837,23.601462
-6.494883,-7.284432,23.363660
-6.659003,-7.708306,23.136875
-6.836056,-8.096779,23.010977
-7.009699,-8.438422,22.958552
-7.193116,-8.770438,22.957102
-7.381916,-9.088555,23.000753
-7.575952,-9.394947,23.085187
-7.773375,-9.688036,23.206865
-7.972735,-9.966520,23.362735
-8.172508,-10.228776,23.549837
-8.371309,-10.473273,23.765333
-8.567863,-10.698580,24.006472
-8.761023,-10.903409,24.270607
-8.949753,-11.086609,24.555202
-9.133108,-11.247148,24.857828
-9.310222,-11.384097,25.176166
-9.480281,-11.496602,25.507990
-9.642510,-11.583866,25.851161
-9.796150,-11.645121,26.203613
-9.940445,-11.679609,26.563349
-10.074621,-11.686542,26.928436
-10.197867,-11.665061,27.297006
-10.309214,-11.614223,27.666959
-10.407691,-11.532876,28.036538
-10.492177,-11.419458,28.404186
-10.561290,-11.271627,28.768692
-10.613180,-11.085430,29.129620
-10.644988,-10.852916,29.488708
-10.650772,-10.551481,29.856857
-10.587697,-9.972820,30.364623
-10.531379,-9.695381,30.540381
-10.448233,-9.373204,30.700144
-10.352127,-9.064910,30.812939
-10.242377,-8.761469,30.888370
-10.120918,-8.465386,30.929226
-9.988583,-8.176723,30.938203
-9.846356,-7.896411,30.917248
-9.695062,-7.625259,30.867937
-9.535492,-7.364138,30.791575
-9.368514,-7.114076,30.689338
-9.194872,-6.875906,30.562209
-9.015286,-6.650440,30.411017
-8.830479,-6.438490,30.236457
-8.641188,-6.240884,30.039099
-8.448179,-6.058482,29.819401
-8.252273,-5.892192,29.577717
-8.054375,-5.743006,29.314320
-7.855521,-5.612027,29.029451
-7.656949,-5.500503,28.723402
-7.460188,-5.409853,28.396683
-7.267187,-5.341657,28.050295
-7.080434,-5.297567,27.686138
-6.903011,-5.279093,27.307471
-6.738414,-5.287242,26.919152
-6.590079,-5.322170,26.527248
-6.460759,-5.383100,26.137962
-6.352162,-5.468646,25.756477
-6.265032,-5.577320,25.386432
-6.199529,-5.707963,25.030091
-6.155615,-5.859985,24.688806
-6.133361,-6.033506,24.363467
-6.133187,-6.229490,24.054841
-6.156102,-6.450003,23.763796
-6.204103,-6.698809,23.491457
-6.281083,-6.982993,23.239232
-6.395911,-7.318792,23.008249
-6.586813,-7.780075,22.790522
-6.777952,-8.180596,22.682895
-6.969512,-8.544955,22.644865
-7.168843,-8.896081,22.659825
-7.373564,-9.233333,22.721495
-7.582859,-9.557490,22.825554
-7.794948,-9.867009,22.968313
-8.008230,-10.160299,23.146436
-8.221122,-10.435627,23.356688
-8.432196,-10.691391,23.595959
-8.640171,-10.926151,23.861266
-8.843914,-11.138644,24.149770
-9.042418,-11.327758,24.458784
-9.234775,-11.492514,24.785762
-9.420152,-11.632028,25.128290
-9.597770,-11.745490,25.484071
-9.766882,-11.832137,25.850904
-9.926751,-11.891231,26.226672
-10.076637,-11.922026,26.609332
-10.215775,-11.923742,26.996910
-10.343355,-11.895510,27.387500
-10.458403,-11.836367,27.778967
-10.559923,-11.745118,28.169501
-10.646767,-11.620121,28.557532
-10.717505,-11.458888,28.941858
-10.770204,-11.257180,29.322111
-10.801847,-11.006400,29.700290
-10.806051,-10.681718,30.088486
-10.744636,-10.106697,30.590581
-10.685289,-9.803892,30.784641
-10.599162,-9.461094,30.956861
-10.499479,-9.133562,31.079201
-10.385491,-8.811304,31.162211
-10.259223,-8.496923,31.208904
-10.121522,-8.190389,31.222201
-9.973398,-7.892627,31.204197
-9.815685,-7.604435,31.156583
-9.649183,-7.326681,31.080753
-9.474758,-7.060395,30.977950
-9.293155,-6.806416,30.849215
-9.105084,-6.565546,30.695412
-8.911246,-6.338586,30.517255
-8.712347,-6.126350,30.315310
-8.509113,-5.929675,30.090004
-8.302309,-5.749451,29.841625
-8.092770,-5.586647,29.570334
-7.881445,-5.442353,29.276202
-7.669472,-5.317820,28.959281
-7.458282,-5.214507,28.619765
-7.249764,-5.134094,28.258294
-7.046464,-5.078422,27.876472
-6.851733,-5.049260,27.477555
-6.669617,-5.047850,27.066961
-6.504255,-5.074381,26.651910
-6.358946,-5.127802,26.239888
-6.235563,-5.206228,25.836930
-6.134739,-5.307538,25.447201
-6.056128,-5.430197,25.072254
-5.999273,-5.573262,24.712907
-5.963852,-5.736368,24.369760
-5.949798,-5.919904,24.043161
-5.957482,-6.125089,23.733522
-5.987908,-6.354172,23.441535
-6.043045,-6.610952,23.168295
-6.126589,-6.902110,22.915387
-6.246328,-7.241540,22.684727
-6.427580,-7.676040,22.475411
-6.663167,-8.167198,22.339983
-6.863374,-8.545015,22.302136
-7.081453,-8.927519,22.319640
-7.301415,-9.289038,22.387255
-7.526916,-9.638211,22.500750
-7.754698,-9.971131,22.655582
-7.983396,-10.286595,22.848216
-8.211175,-10.582517,23.074922
-8.436550,-10.857234,23.332242
-8.658184,-11.109248,23.616855
-8.874937,-11.337299,23.925660
-9.085812,-11.540304,24.255754
-9.289927,-11.717323,24.604427
-9.486482,-11.867520,24.969134
-9.674730,-11.990125,25.347474
-9.853955,-12.084414,25.737160
-10.023452,-12.149681,26.136006
-10.182505,-12.185211,26.541902
-10.330373,-12.190247,26.952815
-10.466266,-12.163952,27.366781
-10.589266,-12.105371,27.781723
-10.698358,-12.013368,28.195630
-10.792425,-11.886392,28.606840
-10.870096,-11.722138,29.014009
-10.929552,-11.516801,29.416482
-10.968071,-11.263068,29.815417
-10.980507,-10.942432,30.218597
-10.943455,-10.432513,30.704766
-10.885962,-10.074320,30.962966
-10.803893,-9.703719,31.172463
-10.706705,-9.351680,31.324031
-10.593871,-9.005473,31.431977
-10.467645,-8.667691,31.500119
-10.328961,-8.337985,31.532105
-10.178909,-8.017223,31.530438
-10.018371,-7.706162,31.497110
-9.848178,-7.405659,31.433739
-9.669156,-7.116659,31.341702
-9.482122,-6.840114,31.222203
-9.287782,-6.576820,31.076229
-9.086820,-6.327566,30.904589
-8.879910,-6.093138,30.707923
-8.667728,-5.874341,30.486700
-8.450964,-5.672012,30.241218
-8.230342,-5.487052,29.971596
-8.006660,-5.320465,29.677779
-7.780838,-5.173409,29.359574
-7.554020,-5.047255,29.016741
-7.327735,-4.943651,28.649224
-7.104144,-4.864543,28.257632
-6.886374,-4.812060,27.844090
-6.678731,-4.788112,27.413344
-6.486350,-4.793640,26.973235
-6.313966,-4.827964,26.533278
-6.164645,-4.888902,26.102019
-6.039409,-4.973632,25.685096
-5.937624,-5.079852,25.284253
-5.858367,-5.205913,24.900074
-5.800750,-5.350924,24.532427
-5.764163,-5.514638,24.181144
-5.748361,-5.697353,23.846327
-5.753496,-5.900174,23.528025
-5.780286,-6.125044,23.226635
-5.830211,-6.375054,22.942994
-5.905943,-6.655160,22.678494
-6.012418,-6.974067,22.435208
-6.160514,-7.350888,22.215726
-6.396420,-7.870430,22.017319
-6.626571,-8.322687,21.931890
-6.855844,-8.738194,21.919517
-7.092395,-9.139311,21.965579
-7.333772,-9.524868,22.063634
-7.578780,-9.894706,22.208996
-7.825177,-10.246430,22.397184
-8.071003,-10.577859,22.623956
-8.314457,-10.886947,22.885184
-8.554033,-11.172012,23.176997
-8.788475,-11.431685,23.495803
-9.016734,-11.664848,23.838306
-9.237917,-11.870570,24.201484
-9.451236,-12.048042,24.582548
-9.655973,-12.196537,24.978901
-9.851447,-12.315375,25.388107
